网页地址,项目位置,面积(公顷),供地方式,行业分类,成交价格(万元),下限,上限,约定交地时间,经度,纬度
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ec2c9e45-5b60-455b-9e35-2fe9d14e4364, 永登县城关镇团结街县引大家属楼南,0.01933,挂牌出让,房地产业,36.33,1,6.5,2016年1月28日,103.253026,36.735823
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=13e1d4d9-d31c-411c-9319-fbab48c591c6, 张家寺村109国道北侧,0.46466,挂牌出让,其它,163.795,1,1.7,2013年5月18日,103.277998,36.166846
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=74bc5dc7-bbdf-41cc-b4c2-bd943edbffe3, 支路以东、纬一路以南、经九路以西、支路以北,5.30962,挂牌出让,房地产业,3767,1,3,2016年4月1日,103.682095,36.472343
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fa9efc6f-3de0-45a6-8389-b0f7ebe49514,BW3#路至201省道,13.4434,协议出让,公共设施管理业,2823.1,,,2019年10月21日,103.663703,36.557684
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39f4f6e0-a7ba-4724-bb59-b503866e5fc0,BZ15#路以东、纬七十路以南、经四十五路以西、BZ36#路以北,15.80984,划拨,中国共产党机关,3296.3572,0,1.5,2017年8月4日,103.693779,36.506374
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=673ff797-ffd2-48c8-ace1-7f6a50612b19,BZ15#路以东、纬七十路以南、经四十五路以西、北环路以北,8.84287,划拨,中国共产党机关,1843.7377,0,1.5,2017年6月20日,103.80118,36.092389
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fc277a8a-73d6-4e39-b72d-c2ff287a8dc4,BZ18#路以南、BZ21#路以西、BZ16#路以北,6.05204,挂牌出让,批发和零售业,1353,0.7,,2020年4月9日,103.707287,36.618688
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=29ef2041-8f33-4acf-a429-46e7725b3d75,BZ20#路以南、经四十九路以东区域,2.13904,挂牌出让,农业,485,0.7,0,2019年2月15日,103.8249,36.060213
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bd0cc092-8f19-4d87-9dfa-f5cbf65c7073,BZ31#路以东、BZ4#路以南、兰州新盛光伏科技有限公司以西,2.31927,挂牌出让,塑料制品业,522,0.7,0,2018年5月2日,103.87934,36.085398
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4765ec86-cca4-451b-a26b-a4ab1c249d88,BZ4#路以南、BZ1#路以北、BZ31#路以西,15.51308,挂牌出让,制造业,3477,0.7,0,2019年4月29日,103.68212,36.604667
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=66a3e830-ed44-4b9b-b728-f21c644db68d,BZ5#以东、BZ24#以南、BZ9#以西、纬五十二路以北区域,1.04012,划拨,中国共产党机关,218.428,0,1.5,2018年11月2日,103.729097,36.524642
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f078c675-93e4-4868-8051-3a69a9a97dc1,ES12#路以东、ES1#路以北、漓江街以南,6.65988,挂牌出让,房地产业,9159.52,1,3.1,2019年12月10日,103.707774,36.47453
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f80c1306-0246-4e78-89d7-073ca48d0e41,ES6#路以东、ES12#路以西、ES1#路以北,8.28538,挂牌出让,房地产业,11406.93,1,2.8,2019年12月10日,103.8249,36.060213
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17521754-f3e7-4ed5-b84c-24a693d545b9,ES6#路以东、ES12#路以西、纬五支路以南,7.90853,挂牌出让,房地产业,11018.59,1,2.8,2019年12月10日,103.687229,36.476736
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1d066ec8-179b-4682-9ed5-803da1b87611,FD2#南支路至经一路,4.001939,协议出让,公共设施管理业,840.4071,,,2019年11月25日,103.620581,36.455801
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e696ea88-f795-437e-83d4-a4a1b724f3eb,JK11#以东、JK6#以南、JK13#以西、纬三十路以北,4.68,划拨,其它,975.78,1,2.5,2017年2月28日,103.720724,36.562511
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb8ff632-efcb-4007-91a4-3740b56b25ab,JK2#路以南、北快速路以北、经十五支路以西,15.09878,挂牌出让,房地产业,3329,0.7,0,2016年6月16日,103.646777,36.555029
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=456a3244-959c-4d7e-bbb2-25c017e0ecd5,JK8#以南、昆仑大道（经十三路）以东、华山路（经十四路）以西、纬三十路以北,14.77328,挂牌出让,医药制造业,3326,0.7,0,2017年5月5日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1780a3b4-17dc-428f-ac75-25da6ab0d29e,KJ1#以东、九江街（创智中路）以南、KJ2#以北,6.10447,挂牌出让,房地产业,4124,1,3.5,2017年5月15日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0154f3b4-d9a0-4dbe-b4e7-1e7adc21940e,KJ1#以西、KJ2#以北、贺兰山大道（北斗路）以东、九龙江街（创智中路）以南,10.54055,挂牌出让,房地产业,6766,0,2.8,2017年5月15日,,
